Age,Gt
25,9588.99986769691
26,9827.771315497523
27,10759.763808354344
28,9407.035796697925
29,12887.171287259305
30,11887.247706246666
31,11360.830429217865
32,10397.509128630747
33,11508.532255205188
34,13249.880194949845
35,11514.655405836816
36,12275.161834394305
37,9700.679310861287
38,10667.806673605553
39,13043.724311665452
40,11871.626640595012
41,13211.381324411435
42,15304.960358833265
43,14073.710154161936
44,13224.004292425525
45,14375.61527263465
46,15434.964905799248
47,16075.138732069978
48,15322.858457245755
49,18931.659116943574
50,16383.201405641474
51,17174.01733781235
52,15797.235725121996
53,15357.331707782896
54,16980.7529193307
55,20477.669229961444
56,14837.485303263707
57,17275.865473666574
58,15272.642594373367
59,14793.275532384985
60,17720.71672852581
61,15656.614200681877
62,12207.146690200934
63,15766.808698368106
64,13209.816390211461
65,12238.822503361627
66,18433.845476219143
67,16648.73619156071
68,11910.785679220802
69,13787.251779180653
70,16012.594432758333
71,8643.099933012843
72,15007.632832475758
73,10865.904991876208
74,8794.52893327244
75,28178.27226561772
76,14124.298513491933
77,17269.29069458511
78,25623.076759724143
79,15385.085804275579
80,12270.046693463892
81,15258.075006057012
82,15420.77204366015
83,17714.296607841632
84,19342.82692955359
85,69485.00000000003
86,9393.266202042983
87,33296.00000000003
88,3765.9999999999973
89,66835.00259594525
90,
91,9241.0
92,62900.8592548623
93,
94,
95,
97,
